Date,Actual,LGBM_Pred,LGBM_Lower_90,LGBM_Upper_90
2025-05-30 23:00:00,13241.0,12853.302648850606,12329.34931158553,13255.433027947842
2025-05-31 00:00:00,12598.0,12729.024435472948,12091.585766101352,13031.222611169298
2025-05-31 01:00:00,12211.0,12052.868710272876,11513.997097806403,12413.423144924229
2025-05-31 02:00:00,11936.0,11677.558891901494,11178.012696403111,12276.550244961452
2025-05-31 03:00:00,11812.0,11346.088374665505,10802.102207229036,11882.933718511262
2025-05-31 04:00:00,11567.0,11249.735457206456,10572.61616065431,11711.682429075228
2025-05-31 05:00:00,11382.0,10936.946339121017,10201.029582884268,11318.95381209769
2025-05-31 06:00:00,11611.0,10985.587709405034,10287.05995202843,11375.853160832576
2025-05-31 07:00:00,11831.0,11269.306716817762,10682.221545373823,11891.08525541817
2025-05-31 08:00:00,12102.0,11605.895306336664,11086.892504296196,12413.865918264932
2025-05-31 09:00:00,12405.0,11895.088714435411,11406.8858893736,12672.48172855209
2025-05-31 10:00:00,12492.0,12381.726754455878,11882.444963442267,13087.231204795442
2025-05-31 11:00:00,13111.0,12582.102183702711,12066.047713727527,13198.341890332013
2025-05-31 12:00:00,12789.0,13147.708353721693,12649.445673404654,13719.002139667393
2025-05-31 13:00:00,12418.0,12692.619024163585,12136.885611988573,13173.284022375721
2025-05-31 14:00:00,12534.0,12546.238668310503,11968.234603840061,12826.111861989255
2025-05-31 15:00:00,11608.0,12326.263902694469,11878.531946622368,12634.065726973859
2025-05-31 16:00:00,11376.0,11463.945307131282,10966.947049231194,11732.529798701615
2025-05-31 17:00:00,11959.0,11400.082678906761,10983.315122440696,12049.409565089347
2025-05-31 18:00:00,13342.5,13264.199990160909,12369.117914490651,13909.977516321096
2025-05-31 19:00:00,14250.0,13584.95966808799,13241.4815454264,13846.794237668297
2025-05-31 20:00:00,14695.0,14275.832769253542,14014.70480499239,14510.193425403893
2025-05-31 21:00:00,14700.0,14424.552312605088,14282.360548534805,14778.687054448843
2025-05-31 22:00:00,14662.0,14475.900288915009,14257.944392959758,14760.241202929006
2025-05-31 23:00:00,14550.0,14372.098167930964,14161.503657590525,14657.162750182908
2025-06-01 00:00:00,13700.0,13832.405630456442,13809.848832895654,14241.802551571227
2025-06-01 01:00:00,13150.0,13325.498659620898,13034.4743108888,13536.221868204533
2025-06-01 02:00:00,12750.0,12918.06204725552,12620.716110548767,13121.401677334374
2025-06-01 03:00:00,12420.0,12480.00914800274,12175.05048158686,12607.714096114165
2025-06-01 04:00:00,12250.0,12219.292551476545,11926.656206378933,12344.596373255543
2025-06-01 05:00:00,11720.0,11731.777454897956,11515.61979755084,12092.207792796738
2025-06-01 06:00:00,11786.0,11602.988213567474,11203.384376926493,11830.706384380357
2025-06-01 07:00:00,11801.0,11826.480861757334,11513.743022423776,12019.331033413335
2025-06-01 08:00:00,12241.0,12086.449833611836,11695.85465562028,12349.80917634261
2025-06-01 09:00:00,12432.0,12507.830996809415,12162.712300524161,12792.616836852812
2025-06-01 10:00:00,12635.0,12746.79980843641,12511.34409915731,13028.625885255755
2025-06-01 11:00:00,12878.0,13027.805039492587,12704.352805529921,13241.242162094
2025-06-01 12:00:00,13044.0,13149.46249410356,12860.306832392991,13423.201617030898
2025-06-01 13:00:00,13058.0,13083.206472700862,12903.427927446724,13368.27100716856
2025-06-01 14:00:00,13114.0,13160.549112829623,12954.883912337053,13409.944297363398
2025-06-01 15:00:00,12764.0,12933.080366805734,12661.689639159296,13225.523373973889
2025-06-01 16:00:00,12363.0,12462.47304833339,12192.59733656295,12791.943705659987
2025-06-01 17:00:00,12358.0,12231.72722626607,11860.826266240361,12690.515631456678
2025-06-01 18:00:00,13303.5,14106.558363276798,13155.422056796948,14463.521291774648
2025-06-01 19:00:00,13332.0,13636.826286223866,13358.41089727681,14044.210942327334
2025-06-01 20:00:00,13631.0,13598.085748598345,13167.018503091758,13982.025972364392
2025-06-01 21:00:00,13749.0,13700.925613556683,13431.589561868015,13985.6246057866
2025-06-01 22:00:00,13769.0,13797.936519148481,13496.512471248105,14069.342861265575
2025-06-01 23:00:00,13728.0,13713.170714938733,13367.841330188785,13922.12151234872
2025-06-02 00:00:00,13169.0,13418.755620714468,13211.975403829296,13557.736656221268
2025-06-02 01:00:00,12760.0,12863.98847401812,12620.946572515639,13016.20737655757
2025-06-02 02:00:00,12379.0,12506.320251895779,12254.289141167585,12711.592529566058
2025-06-02 03:00:00,11969.0,12121.945608484797,11918.787702736,12306.671504616974
2025-06-02 04:00:00,11207.0,11676.214306176824,11406.364821591807,11992.66834043026
2025-06-02 05:00:00,10702.0,10660.157287729526,10398.837726575695,11294.296269222337
2025-06-02 06:00:00,10593.0,10681.375278825863,10359.247298280829,11104.584322652137
2025-06-02 07:00:00,10385.0,10736.959834613088,10428.50805874846,11239.085685845677
2025-06-02 08:00:00,10987.0,10749.72419461239,10320.113632760653,11568.77392022069
2025-06-02 09:00:00,11516.0,11381.048359079372,11111.96688666531,12146.58372678307
2025-06-02 10:00:00,12117.0,11875.740256724468,11655.352537155262,12390.670129172766
2025-06-02 11:00:00,12798.0,12488.893048886666,12208.718686716176,12684.775739017397
2025-06-02 12:00:00,13258.0,13036.668781419261,12749.102065606641,13314.256622550192
2025-06-02 13:00:00,13331.0,13341.465524214198,13093.471479545353,13561.397212718082
2025-06-02 14:00:00,13513.0,13502.589205126975,13317.845735599129,13741.730062667137
2025-06-02 15:00:00,13388.0,13408.634273980022,13240.42440066383,13629.655192068409
2025-06-02 16:00:00,13078.0,13048.535560326221,12875.009117641723,13274.037483171327
2025-06-02 17:00:00,12715.0,12821.589146577251,12626.40713823987,13051.476796425975
2025-06-02 18:00:00,14528.5,14065.73049967793,13569.336435081543,14333.678011830745
2025-06-02 19:00:00,15005.0,14547.105033902444,14290.358011230537,14724.64283680584
2025-06-02 20:00:00,15030.0,14973.100006399529,14522.549752144974,15276.974448392435
2025-06-02 21:00:00,14500.0,14897.400359432537,14675.907355303,15140.06877698817
2025-06-02 22:00:00,13479.0,14404.041546344102,14163.61372147518,14591.59286454687
2025-06-02 23:00:00,12439.0,13304.406346534888,12984.031017136795,13424.161572520921
2025-06-03 00:00:00,11775.0,12064.660324446571,11852.054721967132,12292.955130997872
2025-06-03 01:00:00,10991.0,11465.935786774226,11199.917521749076,11949.972998899937
2025-06-03 02:00:00,9973.0,10745.600618020675,10657.546683058988,11674.313192002954
2025-06-03 03:00:00,8908.0,9711.935737883598,9442.969504120829,10712.961143517015
